Hindi,English
का,of
को,to
और,and
मैं,I
उसका,his
वे,they
होना,be
पर,at
एक,one
पास,have
यह,this
से,from
या,or
था,had
द्वारा,by
नहीं,not
शब्द,word
लेकिन,but
क्या,what
कुछ,some
हम,we
कर सकना,can
बाहर,out
उनका,their
समय,time
अगर,if
इच्छा,will
रास्ता,way
के बारे में,about
अनेक,many
तब,then
उन्हें,them
लिखना,write
चाहेंगे,would
पसंद,like
इसलिए,so
इन,these
उसका,her
लंबा,long
निर्माण,make
चीज़,thing
देखना,see
उसका,him
लोग,people
मेरा,my
ऊपर,over
जानना,know
पानी,water
बजाय,than
पुकारना,call
पहला,first
WHO,who
मई,may
नीचे,down
ओर,side
गया,been
अब,now
पाना,find
कोई,any
नया,new
काम,work
थोड़ा,little
केवल,only
गोल,round
आदमी,man
वर्ष,year
आया,came
दिखाना,show
प्रत्येक,every
अच्छा,good
मुझे,me
देना,give
हमारा,our
अंतर्गत,under
नाम,name
बहुत,very
द्वारा,through
अभी,just
अलग होना,differ
मोड़,turn
कारण,cause
अधिकता,much
अर्थ,mean
पहले,before
कदम,move
सही,right
लड़का,boy
पुराना,old
बहुत,too
वही,same
कहना,tell
करता है,does
तय करना,set
तीन,three
चाहना,want
वायु,air
कुंआ,well
भी,also
हाथ,hand